constellation name,star name,nomenclature name,equinox,right ascension hours,right ascension minutes,right ascension seconds,declination degrees,declination minutes,declination seconds,motion in right ascension,motion in declination,radial velocity,annual parallax,magnitude,Durchmusterung zone 1900,Durchmusterung number,
Andromeda,Alpheratz,alAnd,ICRS,0,8,23.2586,29,5,25.555,0.904533333,-16.295,-11.7,0.0336,2.06,28,4,
Andromeda,Sirrah,alAnd,ICRS,0,8,23.2586,29,5,25.555,0.904533333,-16.295,-11.7,0.0336,2.06,28,4,
Andromeda,Mirach,beAnd,ICRS,1,9,43.9236,35,37,14.008,1.1706,-11.223,0.3,0.01636,2.06,34,198,
Andromeda,,deAnd,ICRS,0,39,19.6758,30,51,39.686,0.7692,-8.305,-7.3,0.03219,3.27,30,91,
Andromeda,,epAnd,ICRS,0,38,33.3458,29,18,42.305,-1.529466667,-25.409,-83.6,0.01934,4.37,28,103,
Andromeda,Almaak,ga-1And,ICRS,2,3,53.9531,42,19,47.009,0.2872,-5.085,-11.7,0.00919,2.26,41,395,
Andromeda,Almak,ga-1And,ICRS,2,3,53.9531,42,19,47.009,0.2872,-5.085,-11.7,0.00919,2.26,41,395,
Andromeda,Almac,ga-1And,ICRS,2,3,53.9531,42,19,47.009,0.2872,-5.085,-11.7,0.00919,2.26,41,395,
Andromeda,Almach,ga-1And,ICRS,2,3,53.9531,42,19,47.009,0.2872,-5.085,-11.7,0.00919,2.26,41,395,
Andromeda,,ioAnd,ICRS,23,38,8.2013,43,16,5.063,0.1848,-0.121,-0.5,0.00649,4.29,42,4720,
Andromeda,,kaAnd,ICRS,23,40,24.5081,44,20,2.154,0.5422,-1.896,-9,0.01922,4.14,43,4522,
Andromeda,,laAnd,ICRS,23,37,33.8425,46,27,29.347,1.061466667,-42.146,6.8,0.03874,3.82,45,4283,
Andromeda,Andromeda Galaxy,M31,ICRS,0,42,44.31,41,16,9.4,0,4.2,0,0,3.4,0,0,
Andromeda,,muAnd,ICRS,0,56,45.2115,38,29,57.641,1.018533333,3.682,7.6,0.02393,3.87,37,175,
Andromeda,,nuAnd,ICRS,0,49,48.8473,41,4,44.079,0.1512,-1.805,-23.9,0.0048,4.53,40,171,
Andromeda,,omeAnd,ICRS,1,27,39.3817,45,24,24.074,2.379933333,-10.932,10.8,0.03533,4.83,44,307,
Andromeda,,omiAnd,ICRS,23,1,55.2643,42,19,33.525,0.1498,0.024,-14,0.00471,3.62,41,4664,
Andromeda,,piAnd,ICRS,0,36,52.8497,33,43,9.637,0.101533333,-0.356,8.7,0.00497,4.36,32,101,
Andromeda,,psAnd,ICRS,23,46,2.0466,46,25,12.993,0.060333333,-0.625,-24.8,0.00249,4.95,45,4321,
Andromeda,,rhAnd,ICRS,0,21,7.2691,37,58,6.971,0.3888,-3.965,9.1,0.02042,5.18,37,45,
Andromeda,,siAnd,ICRS,0,18,19.6569,36,47,6.807,-0.4434,-4.248,-8,0.02311,4.52,35,44,
Andromeda,Adhab,upAnd,ICRS,1,36,47.8428,41,24,19.652,-1.150466667,-38.103,-28.3,0.07425,4.09,40,332,
Andromeda,Adhil,xiAnd,ICRS,1,22,20.4198,45,31,43.6,0.214733333,0.873,-11.7,0.01668,4.88,44,287,
Andromeda,,zeAnd,ICRS,0,47,20.3254,24,16,1.841,-0.674866667,-8.189,-23.7,0.01798,4.06,23,106,
Antila,,alAnt,ICRS,10,27,9.1011,-31,4,4.004,-0.536133333,0.963,12.2,0.0089,4.25,-30,8465,
Antila,,epAnt,ICRS,9,29,14.7197,-35,57,4.808,-0.164933333,0.507,22.2,0.00466,4.51,-35,5724,
Antila,,ioAnt,ICRS,10,56,43.0511,-37,8,15.956,0.499733333,-12.45,-0.2,0.0164,4.6,-36,6808,
Antila,,thAnt,ICRS,9,44,12.11,-27,46,10.3,-0.318666667,3.4,24,0,4.79,-27,6881,
Apus,,alAps,ICRS,14,47,51.7087,-79,2,41.103,-0.0378,-1.575,-1.1,0.00793,3.83,-78,893,
